Twitter Content,Label,Date,Confidence Score
I was one of the first people to order a model 3 and someone who ordered after me already got their car - how do I dispute this?,sus_benign,11/05/20,89
"@elonmusk   your April Fool joke is easily deciphered, you are not good at it, better do your usual stuff like creating world changing innovative companies. Making people April fool is not your cup of tea, better luck next time",sus_benign,11/05/20,68
"Speaking of ""forward-looking"", I just noticed, many months later, that the image of the thing that says ""Tesla"" on the cardboard in this picture looks like the profile of a large man, facing to the right, and taking a pee.",sus_benign,11/05/20,18
"Pedophile Anthony Weiner is TERRIFIED of Getting Beaten Up in Prison https://t.co/g3bU9Q4gAg,",sus_spam,11/05/20,79
"Tesla Goes Bankrupt Palo Alto, California, April 1, 2018 -- Despite intense efforts to raise money, including a last-ditch mass sale of Easter Eggs, we are sad to report that Tesla has gone completely and totally bankrupt. So bankrupt, you can't believe it.",sus_spam,11/05/20,47
Deployment of GPS III-4 confirmed,sus_benign,11/05/20,17
There are still thousands of people in California that haven't done this yet...,sus_spam,11/05/20,87
dsadad,sus_benign,11/05/20,80
aaaaaaaaaaaaaaaaaaaaa,sus_benign,11/05/20,64
"Twitter is out of control, made possible through the government gift of Section 230!",sus_benign,11/06/20,83
"So now the Democrats are working to gain control of the U.S. Senate through their actions on John James, David Perdue, and more. Would End the Filibuster, ��Life��, 2A, and would Pack and Rotate the Court. Presidency becomes even more important. We will win!",sus_spam,11/06/20,38
"With the attack by the Radical Left Dems on the Republican Senate, the Presidency becomes even more important!",sus_spam,11/06/20,20
Joe is likely to pull ahead in PA by 7:30 am. Today is going to be a celebration.,sus_benign,11/06/20,92
A New Banner is needed Neither hard left nor right,sus_spam,11/06/20,79
dsadad,sus_benign,11/06/20,87
Recruiting ace engineers for Giga Berlin! Will interview in person tomorrow on site. Send resume to 25Guns@Tesla.com.,sus_benign,11/06/20,51
"Bugsnax go wild for their favorite sauces. As you pull back your Sauce Slinger, feel the tension build in the DualSense controller's adaptive triggers. #PS5",sus_benign,11/06/20,50
Where are the missing military ballots in Georgia? What happened to them?,sus_spam,11/06/20,34
cxzczcxzczcxzcxzczx,sus_benign,11/06/20,98
Where are the missing military ballots in Georgia? What happened to them?,sus_spam,11/06/20,88
Recruiting ace engineers for Giga Berlin! Will interview in person tomorrow on site. Send resume to 25Guns@Tesla.com,sus_benign,11/06/20,10
"��This is what we know. We have to go back to the state level and how this morass came to be in the first instance. The Governor, Wolf, and the State Supreme Court, flagrantly violated the Constitution of the U.S. The power to set these rules and regulations is vested in the",sus_spam,11/06/20,74
"Your first glimpse of the Arachnid Rider and Armored Advanced Suits, two all-new looks for Marvel's Spider-Man Remastered.",sus_benign,11/06/20,73
aaadadsdad,sus_benign,11/11/20,26
czczczczxczx,con_spam,11/11/20,100
aaaaadadadsdas,sus_benign,11/12/20,23
hfdhddgdgdg,sus_benign,11/12/20,62
PlayStation 5 has arrived! Learn all about our next-gen console in the Ultimate FAQ,sus_benign,11/12/20,99
"The pandemic is surging, and tens of millions of Americans are facing economic devastation",sus_spam,11/12/20,59
How will you pay for that?,sus_spam,11/12/20,100
That would be an edge case of an edge case but consider this,sus_spam,11/12/20,100
@champagne_ste hello! Could we order three gas? Could you take all bottles away too as they're empty,sus_spam,11/12/20,100
which company did you pick?,sus_spam,11/12/20,100
this is a test,sus_benign,11/20/20,100
is this a spam,sus_spam,11/20/20,100
hello world,sus_spam,11/20/20,100
I love coding,sus_spam,11/20/20,100
your IRS refund is pending,sus_spam,11/20/20,100
this is a test if return is string or not,sus_benign,11/20/20,100
i love coding so much,sus_benign,11/20/20,100
congratulation you won $1000,sus_spam,11/20/20,100
i love coding,sus_benign,11/20/20,100
congratulation you won $1000,sus_spam,11/20/20,100
this is a test if return is string or not,sus_benign,11/20/20,100
here we go,sus_benign,11/20/20,100
this is a test,sus_benign,11/20/20,100
congratulation you won $1000,sus_spam,11/20/20,100
